Date,Avg Temperature,Avg Humidity,Avg Wind Speed
2023-01-01,58.8,44.1,58.0
2023-01-02,52.8,43.5,70.2
2023-01-03,44.0,39.4,84.1
2023-01-04,40.0,34.4,81.0
2023-01-05,47.9,40.5,75.3
2023-01-06,40.7,36.6,85.4
2023-01-07,42.4,38.9,87.9
2023-01-08,38.5,35.2,88.3
2023-01-09,39.5,36.4,89.1
2023-01-10,41.2,37.5,87.9
2023-01-11,40.7,33.9,77.8
2023-01-12,45.2,37.9,76.3
2023-01-13,47.6,40.1,75.4
2023-01-14,43.4,34.6,71.2
2023-01-15,43.9,38.0,79.8
2023-01-16,38.6,31.0,74.8
2023-01-17,37.1,28.0,71.3
2023-01-18,34.0,32.0,92.7
2023-01-19,31.7,27.4,85.0
2023-01-20,29.2,26.1,89.1
2023-01-21,31.4,29.6,93.3
2023-01-22,33.8,32.1,94.0
2023-01-23,34.4,34.0,98.5
2023-01-24,35.7,34.9,96.0
2023-01-25,35.8,33.6,92.6
2023-01-26,34.0,29.9,86.8
2023-01-27,33.3,32.0,95.6
2023-01-28,30.2,26.6,86.7
2023-01-29,31.0,25.2,78.9
2023-01-30,34.6,29.2,80.2
2023-01-31,38.3,33.0,80.5
2023-02-01,38.6,33.9,82.6
2023-02-02,37.0,32.0,81.1
2023-02-03,36.0,33.0,89.4
2023-02-04,32.9,25.6,75.0
2023-02-05,26.6,20.3,78.5
2023-02-06,25.8,20.0,80.3
2023-02-07,25.1,19.0,79.0
2023-02-08,27.9,22.2,79.1
2023-02-09,30.9,19.6,65.3
2023-02-10,33.5,24.7,70.4
2023-02-11,38.8,33.4,81.6
2023-02-12,42.6,38.9,87.8
2023-02-13,42.0,38.4,88.4
2023-02-14,39.2,32.7,77.1
2023-02-15,34.4,30.1,84.9
2023-02-16,35.6,29.8,81.0
2023-02-17,46.2,39.4,77.4
2023-02-18,45.9,38.1,75.3
2023-02-19,39.6,34.9,83.8
2023-02-20,44.7,35.0,70.3
2023-02-21,48.2,42.7,81.1
2023-02-22,42.2,35.8,78.8
2023-02-23,41.4,35.9,81.8
2023-02-24,43.8,39.7,85.8
2023-02-25,36.3,33.0,87.1
2023-02-26,32.6,27.5,81.8
2023-02-27,32.4,25.4,75.5
2023-02-28,32.8,22.1,66.6
2023-03-01,30.0,20.7,72.7
2023-03-02,32.9,25.7,78.3
2023-03-03,31.4,30.0,95.0
2023-03-04,36.8,31.9,83.0
2023-03-05,33.6,28.6,83.3
2023-03-06,34.8,30.5,85.3
2023-03-07,38.4,30.9,76.8
2023-03-08,35.7,33.2,90.7
2023-03-09,37.0,36.3,95.5
2023-03-10,49.1,40.7,73.4
2023-03-11,36.5,30.8,80.7
2023-03-12,37.0,25.8,64.7
2023-03-13,49.7,41.4,73.4
2023-03-14,51.1,40.4,67.5
2023-03-15,36.6,28.5,74.2
2023-03-16,36.3,25.1,67.2
2023-03-17,39.6,26.1,61.3
2023-03-18,46.9,27.7,49.2
2023-03-19,48.0,32.9,58.6
2023-03-20,50.2,45.5,84.5
2023-03-21,48.3,44.0,84.2
2023-03-22,53.4,44.1,72.5
2023-03-23,56.9,43.7,62.2
2023-03-24,57.0,46.7,69.8
2023-03-25,49.2,40.3,71.6
2023-03-26,46.0,37.0,71.0
2023-03-27,38.2,29.1,72.6
2023-03-28,33.9,24.0,69.3
2023-03-29,38.3,26.4,65.8
2023-03-30,51.0,42.5,73.5
2023-03-31,50.9,44.1,77.6
2023-04-01,48.5,46.2,91.6
2023-04-02,39.9,35.0,82.4
2023-04-03,36.1,23.6,61.8
2023-04-04,33.1,20.2,59.9
2023-04-05,33.8,26.0,73.9
2023-04-06,36.3,24.7,67.7
2023-04-07,38.2,34.6,87.6
2023-04-08,43.4,36.7,78.5
2023-04-09,43.9,41.1,91.0
2023-04-10,46.8,42.2,85.4
2023-04-11,44.2,40.6,87.5
2023-04-12,45.2,35.7,71.5
2023-04-13,46.0,41.0,83.0
2023-04-14,47.3,45.6,94.4
2023-04-15,51.0,41.6,72.6
2023-04-16,49.2,43.2,81.9
2023-04-17,52.0,44.9,77.5
2023-04-18,50.7,46.8,87.4
2023-04-19,43.9,37.4,78.3
2023-04-20,48.9,41.8,77.7
2023-04-21,53.5,38.2,61.5
2023-04-22,54.2,38.5,58.8
2023-04-23,56.0,45.6,70.3
2023-04-24,55.1,49.4,82.3
2023-04-25,48.2,38.8,70.8
2023-04-26,42.3,32.4,68.6
2023-04-27,43.5,31.9,65.5
2023-04-28,51.1,36.1,60.0
2023-04-29,54.2,47.5,79.2
2023-04-30,50.9,38.1,64.1
2023-05-01,51.9,37.4,62.1
2023-05-02,57.1,45.9,67.3
2023-05-03,51.2,36.7,59.5
2023-05-04,51.8,35.6,58.8
2023-05-05,57.4,40.1,56.3
2023-05-06,50.3,45.0,83.1
2023-05-07,47.0,41.3,79.6
2023-05-08,47.9,36.0,65.5
2023-05-09,51.8,36.3,58.4
2023-05-10,56.4,40.7,57.0
2023-05-11,60.1,42.1,53.0
2023-05-12,59.5,39.0,48.4
2023-05-13,56.9,39.5,53.2
2023-05-14,56.9,43.8,64.4
2023-05-15,54.9,52.5,91.4
2023-05-16,53.9,49.9,86.7
2023-05-17,50.3,43.5,78.5
2023-05-18,52.1,38.8,62.8
2023-05-19,52.0,46.0,80.2
2023-05-20,57.9,51.6,80.5
2023-05-21,67.1,51.7,62.0
2023-05-22,65.7,45.3,50.6
2023-05-23,61.0,52.1,73.1
2023-05-24,54.9,48.0,79.6
2023-05-25,55.4,47.5,76.1
2023-05-26,58.7,44.6,64.0
2023-05-27,56.0,39.3,57.5
2023-05-28,58.0,38.4,52.9
2023-05-29,61.2,42.9,55.7
2023-05-30,61.1,39.6,47.9
2023-05-31,61.4,43.8,56.5
2023-06-01,65.1,46.1,55.2
2023-06-02,58.4,44.4,62.2
2023-06-03,56.0,30.8,40.7
2023-06-04,60.0,37.4,47.4
2023-06-05,64.5,42.1,48.7
2023-06-06,67.9,53.5,64.3
2023-06-07,66.2,57.2,74.4
2023-06-08,70.4,53.5,59.9
2023-06-09,63.8,58.1,82.1
2023-06-10,68.8,52.4,62.9
2023-06-11,67.2,46.0,49.7
2023-06-12,65.3,43.5,48.5
2023-06-13,58.2,44.5,61.6
2023-06-14,57.8,50.1,75.8
2023-06-15,61.1,52.6,75.7
2023-06-16,61.3,51.5,72.7
2023-06-17,62.4,53.7,74.9
2023-06-18,65.7,52.9,66.5
2023-06-19,69.8,56.0,65.5
2023-06-20,75.5,60.2,62.1
2023-06-21,75.6,63.8,68.9
2023-06-22,76.1,61.3,63.1
2023-06-23,71.1,63.6,78.8
2023-06-24,65.7,58.1,79.3
2023-06-25,67.0,53.1,64.4
2023-06-26,71.4,58.1,66.8
2023-06-27,62.9,54.9,76.8
2023-06-28,59.9,51.6,75.3
2023-06-29,67.0,53.8,64.9
2023-06-30,67.3,59.7,78.0
2023-07-01,67.4,59.3,77.1
2023-07-02,67.3,55.8,67.9
2023-07-03,68.1,51.6,57.9
2023-07-04,68.3,52.0,58.1
2023-07-05,68.1,56.6,69.8
2023-07-06,66.6,49.7,57.6
2023-07-07,68.1,50.1,57.8
2023-07-08,71.7,50.8,53.1
2023-07-09,73.8,52.4,52.5
2023-07-10,71.1,58.9,66.4
2023-07-11,72.5,55.8,59.8
2023-07-12,72.7,59.7,64.4
2023-07-13,68.0,59.1,76.3
2023-07-14,66.9,53.9,66.5
2023-07-15,76.5,55.9,53.9
2023-07-16,74.5,61.9,65.5
2023-07-17,75.3,56.7,54.9
2023-07-18,69.4,49.8,52.2
2023-07-19,70.4,49.3,51.7
2023-07-20,65.6,55.1,71.4
2023-07-21,67.2,52.6,62.5
2023-07-22,65.2,50.0,61.8
2023-07-23,71.4,49.1,49.9
2023-07-24,74.7,53.9,49.4
2023-07-25,68.9,54.9,62.6
2023-07-26,60.4,51.8,76.4
2023-07-27,63.1,48.3,62.6
2023-07-28,68.4,58.8,73.7
2023-07-29,70.6,59.6,70.8
2023-07-30,65.8,59.1,80.5
2023-07-31,66.7,55.5,69.2
2023-08-01,66.4,57.8,75.1
2023-08-02,67.2,54.5,66.5
2023-08-03,71.1,56.1,61.3
2023-08-04,68.4,55.5,65.0
2023-08-05,62.8,59.3,88.8
2023-08-06,58.3,56.8,95.4
2023-08-07,60.7,54.2,80.1
2023-08-08,61.0,47.4,62.4
2023-08-09,58.7,52.3,80.0
2023-08-10,61.5,48.1,65.7
2023-08-11,64.3,51.3,66.3
2023-08-12,71.9,57.3,63.2
2023-08-13,75.3,62.7,65.8
2023-08-14,77.0,64.0,67.0
2023-08-15,80.4,59.6,50.3
2023-08-16,76.7,64.8,68.5
2023-08-17,71.4,63.6,78.1
2023-08-18,72.0,64.1,78.4
2023-08-19,75.2,65.1,73.8
2023-08-20,76.8,66.0,72.8
2023-08-21,73.6,64.7,75.7
2023-08-22,72.9,65.0,78.5
2023-08-23,69.5,57.4,68.9
2023-08-24,69.2,58.3,71.0
2023-08-25,74.9,63.7,69.8
2023-08-26,73.5,63.9,73.8
2023-08-27,65.9,64.1,93.8
2023-08-28,61.5,57.2,86.5
2023-08-29,57.5,56.0,94.6
2023-08-30,59.1,56.2,91.3
2023-08-31,59.4,52.7,79.5
2023-09-01,61.9,51.5,71.1
2023-09-02,64.4,58.7,83.7
2023-09-03,64.5,55.9,75.8
2023-09-04,63.8,54.8,74.1
2023-09-05,65.0,53.9,70.3
2023-09-06,65.7,54.4,71.0
2023-09-07,66.4,54.8,70.5
2023-09-08,71.6,56.9,63.1
2023-09-09,68.2,58.1,73.1
2023-09-10,70.0,57.4,68.9
2023-09-11,69.4,57.6,70.2
2023-09-12,70.2,59.0,71.3
2023-09-13,69.9,61.9,77.2
2023-09-14,62.1,57.2,85.0
2023-09-15,61.1,53.9,78.3
2023-09-16,62.6,53.6,74.2
2023-09-17,67.5,57.6,73.7
2023-09-18,69.4,59.9,74.0
2023-09-19,65.1,58.1,79.8
2023-09-20,64.4,52.3,66.3
2023-09-21,67.3,56.9,72.0
2023-09-22,63.4,57.8,83.0
2023-09-23,57.6,52.3,84.0
2023-09-24,54.8,48.8,81.5
2023-09-25,58.6,53.9,85.8
2023-09-26,61.3,58.6,91.5
2023-09-27,66.2,56.1,74.3
2023-09-28,65.3,53.3,69.1
2023-09-29,66.0,53.0,66.7
2023-09-30,61.3,52.4,73.3
2023-10-01,57.4,47.7,71.6
2023-10-02,65.8,53.6,65.6
2023-10-03,66.5,54.9,69.3
2023-10-04,57.2,49.1,75.9
2023-10-05,56.6,46.8,71.6
2023-10-06,57.5,50.4,78.7
2023-10-07,62.6,52.6,70.8
2023-10-08,51.0,42.3,75.0
2023-10-09,46.2,43.9,89.9
2023-10-10,51.0,49.6,94.5
2023-10-11,63.7,54.5,74.4
2023-10-12,62.6,55.1,77.7
2023-10-13,62.9,56.3,80.3
2023-10-14,61.3,50.6,68.7
2023-10-15,47.4,39.0,74.1
2023-10-16,44.3,37.9,79.6
2023-10-17,42.9,38.3,84.6
2023-10-18,41.8,35.1,79.7
2023-10-19,43.2,41.3,92.6
2023-10-20,49.6,49.0,97.9
2023-10-21,57.4,52.8,86.6
2023-10-22,53.1,52.4,96.8
2023-10-23,53.4,48.5,85.7
2023-10-24,52.1,49.9,91.8
2023-10-25,53.1,50.2,90.8
2023-10-26,51.4,48.5,90.5
2023-10-27,47.7,45.9,94.0
2023-10-28,51.8,47.5,86.8
2023-10-29,56.4,47.5,73.4
2023-10-30,57.8,50.5,77.1
2023-10-31,57.2,49.4,75.2
2023-11-01,53.0,45.2,75.1
2023-11-02,51.6,45.4,80.8
2023-11-03,49.8,47.6,92.3
2023-11-04,46.7,40.6,80.5
2023-11-05,50.8,43.0,74.5
2023-11-06,51.3,41.5,69.0
2023-11-07,50.7,40.5,68.3
2023-11-08,46.8,40.1,78.0
2023-11-09,47.2,36.8,68.2
2023-11-10,47.8,40.8,77.0
2023-11-11,39.4,37.2,92.2
2023-11-12,43.4,38.5,84.2
2023-11-13,44.1,35.5,72.5
2023-11-14,51.3,43.0,73.6
2023-11-15,46.8,42.6,84.9
2023-11-16,43.8,39.6,86.3
2023-11-17,38.9,36.6,90.3
2023-11-18,38.6,36.2,90.3
2023-11-19,40.5,38.0,90.3
2023-11-20,47.7,45.9,92.4
2023-11-21,41.1,40.0,94.5
2023-11-22,29.4,26.6,87.7
2023-11-23,40.9,34.8,79.3
2023-11-24,39.4,34.2,82.1
2023-11-25,34.3,30.8,88.6
2023-11-26,30.5,26.6,84.6
2023-11-27,30.3,25.4,82.5
2023-11-28,28.6,26.1,89.3
2023-11-29,24.4,20.2,84.8
2023-11-30,30.5,26.6,86.3
2023-12-01,27.5,26.0,94.1
2023-12-02,27.2,25.7,93.7
2023-12-03,26.8,23.8,88.4
2023-12-04,18.6,15.6,88.7
2023-12-05,24.9,21.0,84.6
2023-12-06,29.1,27.4,93.5
2023-12-07,32.1,31.0,96.2
2023-12-08,29.7,28.7,95.5
2023-12-09,33.4,31.1,92.1
2023-12-10,36.6,32.6,85.4
2023-12-11,44.5,39.0,80.6
2023-12-12,43.3,38.5,83.8
2023-12-13,41.4,39.8,94.3
2023-12-14,38.6,37.3,95.0
2023-12-15,35.7,32.9,89.3
2023-12-16,42.6,37.6,83.7
2023-12-17,43.4,38.1,82.1
2023-12-18,40.9,34.4,78.0
2023-12-19,42.8,31.9,67.2
2023-12-20,42.6,37.3,82.3
2023-12-21,43.2,37.4,80.7
2023-12-22,38.8,29.4,69.0
2023-12-23,34.6,30.1,84.6
2023-12-24,39.8,37.3,90.9
2023-12-25,51.6,45.0,78.5
2023-12-26,49.1,41.9,75.8
2023-12-27,38.7,32.1,77.9
2023-12-28,42.6,33.7,71.8
2023-12-29,47.4,38.1,70.8
2023-12-30,44.9,38.1,77.3
2023-12-31,36.0,34.1,92.9
